Unnamed: 0,text,labels,tokens,corrected_tokens
0,team 2019merimera alikuwa takataka,negative,"['team', 'merimera', 'alikuwa', 'takataka']","['team', 'merimera', 'alikuwa', 'takataka']"
1,sijafurahishwa,negative,['sijafurahishwa'],['sijafurahishwa']
2,kubuni dosari,negative,"['kubuni', 'dosari']","['kubuni', 'dosari']"
3,bila kusema nilipoteza pesa zangu,negative,"['bila', 'kusema', 'nilipoteza', 'pesa', 'zangu']","['bila', 'kusema', 'nilipoteza', 'pesa', 'zangu']"
4,sema kupoteza pesa na wakati,negative,"['sema', 'kupoteza', 'pesa', 'na', 'wakati']","['sema', 'kupoteza', 'pesa', 'na', 'wakati']"
5,ubunifu ni isiyo ya kawaida sana kwani kipande cha sikio sio kizuri sana hata,negative,"['ubunifu', 'ni', 'isiyo', 'ya', 'kawaida', 'sana', 'kwani', 'kipande', 'cha', 'sikio', 'sio', 'kizuri', 'sana', 'hata']","['ubunifu', 'ni', 'isiyo', 'ya', 'kawaida', 'sana', 'kwani', 'kipande', 'cha', 'sikio', 'sio', 'kizuri', 'sana', 'hata']"
6,akili yako imeoza,negative,"['akili', 'yako', 'imeoza']","['akili', 'yako', 'imeoza']"
7,aki si maisha ni magumu,negative,"['aki', 'si', 'maisha', 'ni', 'magumu']","['aki', 'si', 'maisha', 'ni', 'magumu']"
8,enyewe safaricom ni wezi,negative,"['enyewe', 'safaricom', 'ni', 'wezi']","['enyewe', 'safaricom', 'ni', 'wezi']"
9,mtandao duni hata line yao niliweka nyuma ya simu yangunatumia airtel,negative,"['mtandao', 'duni', 'hata', 'line', 'yao', 'niliweka', 'nyuma', 'ya', 'simu', 'yangunatumia', 'airtel']","['mtandao', 'duni', 'hata', 'line', 'yao', 'niliweka', 'nyuma', 'ya', 'simu', 'yangunatumia', 'airtel']"
10,mtandao wenu wa 4g ni mbaya sana siku hizi tafadhali rekebisheni,negative,"['mtandao', 'wenu', 'wa', 'g', 'ni', 'mbaya', 'sana', 'siku', 'hizi', 'tafadhali', 'rekebisheni']","['mtandao', 'wenu', 'wa', 'g', 'ni', 'mbaya', 'sana', 'siku', 'hizi', 'tafadhali', 'rekebisheni']"
11,safaricom si muache kucheza na mkopo wa nambari yangu tafadhali mnanifilisisha,negative,"['safaricom', 'si', 'muache', 'kucheza', 'na', 'mkopo', 'wa', 'nambari', 'yangu', 'tafadhali', 'mnanifilisisha']","['safaricom', 'si', 'muache', 'kucheza', 'na', 'mkopo', 'wa', 'nambari', 'yangu', 'tafadhali', 'mnanifilisisha']"
12,hauna haki,negative,"['hauna', 'haki']","['hauna', 'haki']"
