Unnamed: 0,text,labels
0,team merimera alikuwa takataka,negative
1,sijafurahishwa,negative
2,kubuni dosari,negative
3,bila kusema nilipoteza pesa zangu,negative
4,sema kupoteza pesa na wakati,negative
5,ubunifu ni isiyo ya kawaida sana kwani kipande cha sikio sio kizuri sana hata,negative
6,akili yako imeoza,negative
7,aki si maisha ni magumu,negative
8,enyewe safaricom ni wezi,negative
9,mtandao duni hata line yao niliweka nyuma ya simu yangunatumia airtel,negative
10,mtandao wenu wa g ni mbaya sana siku hizi tafadhali rekebisheni,negative
11,safaricom si muache kucheza na mkopo wa nambari yangu tafadhali mnanifilisisha,negative
12,hauna haki,negative
13,nyinyi mimi nilinunua laini yenu miaka iliyopita hata peremende sijawai pata gai hata mtu akioa bibi miaka hiyo yote sianamzaliaheeeee nengereni cia maitho kari gani,negative
14,siwezi kuona jinsi sinema hii inavyoweza kuwa msukumo kwa mtu yeyote kushinda woga na kukataliwa,negative
15,ni mbaya sana ni kweli inafaa kuona kwa sababu hiyo,negative
16,muziki mdogo sana au kitu chochote cha kuzungumzia,negative
17,bado mtaishi kuwa wakora ata hii ofa labda kuna kakitu mnaiba haha,negative
18,nimepoteza masaa mawili,negative
19,inaweza kutabirika kidogo,negative
20,sikuipenda mimi,negative
21,mimi sipenda ujinga,negative
22,ilikuwa na kaimu ya wastani kutoka kwa mtu mkuu na ilikuwa bajeti ya chini kama unavyoweza kuona wazi,negative
23,picha ni mbali na sehemu bora ya mchezo,negative
24,leo picha ni ujinga,negative
25,hili lilikuwa haribifu la dhabiti kutoka kwa mawazo yake,negative
26,sikuvutiwa hata kidogo,negative
27,haisisimui hata kidogo,negative
28,lakini hata carrell mwenye talanta hawezi kuokoa hii,negative
29,hadithi yenyewe ni ya kutabirika tu na ya uvivu,negative
30,lakini chochote kile ambacho kiliwagharimu sana hakikuitafsiri kwa ubora hiyo ni kwa hakika,negative
31,kwa hasi ni ya kutosha kusababisha majuto kwa masaa mengine mawili ya maisha yaliyopotea mbele ya skrini,negative
32,muda mrefu mwepesi na hauna maana,negative
33,lakini napendekeza subiri juhudi zao za baadaye acha hii iende,negative
34,nilikatishwa tamaa katika sinema,negative
35,hakukuwa na joto au haiba yoyote kwa picha hizi au wahusika,negative
36,sinema hii inaoga kabisa kwenye mishipa yangu,negative
37,na kwa uaminifu kabisa mara nyingi sio nzuri sana,negative
38,mara nyingi mazungumzo hayafuati kabisa kutoka kwa mstari mmoja hadi mwingine au inafaa mazingira,negative
39,nisingesema wanafaa masaa ya wakati wako ingawa,negative
40,shida ilikuwa maandishi,negative
41,ilikuwa ya kutisha,negative
42,tuhuma tu ambayo nilikuwa nahisi ilikuwa ni kufadhaika kwa jinsi wasichana walivyowashukia,negative
43,hakuna kitu cha kuaminika juu yake kabisa,negative
44,kwa kweli baada ya klabu ya pamba na kutokuwa mwaminifu ilikuwa ni aibu kuona lane na gere kwenye filamu hii kwa sababu ni mbaya,negative
45,kitendo kilikuwa kibovu mazungumzo hayakuwa ya kina na ya udanganyifu,negative
46,inasikitisha sana,negative
47,kuelekeza na sinema sio nzuri kabisa,negative
48,saa na nusu napenda ningeweza kurudisha,negative
49,uongozaji unaonekana kuwa wa kawaida sana,negative
50,na kwa ujumla mistari na njama ni dhaifu kuliko sehemu ya wastani,negative
51,walakini hii haikufanya kwa ukweli wa jumla hii ilikuwa sinema ya kuchosha sana,negative
52,kulikuwa na dakika kadhaa kwenye sinema ambazo hazihitaji tu kuwa hapo na zilikuwa zikisonga polepole,negative
53,siwezi kuamini kuwa waigizaji walikubali kufanya filamu hii,negative
54,hii ilikuwa kumbukumbu mbaya ya harusi ya marafiki wangu bora,negative
55,sikuweza kustahimili hata kuitazama kwa muda mrefu sana kwa kuogopa kupoteza iq,negative
56,sinema hii ni janga safi hadithi ni ya kijinga na uhariri ndio mbaya kabisa ambao nimeona unachanganya sana,negative
57,ni kupoteza saa na nusu ya muda kufuatia rundo la watu wazuri sana kulia na kulia juu ya maisha,negative
58,niliona mirrormask jana usiku na ilikuwa uzoefu usioridhisha,negative
